link,headline,category,short_description,authors,date,headline_tokens,short_description_tokens,headline_length,short_description_length,short_description_no_stopwords,headline_no_stopwords,short_desc_tokens_no_stop,headline_tokens_no_stop,short_description_extracted_dates,short_description_extracted_numbers,year
https://www.huffpost.com/entry/covid-boosters-uptake-us_n_632d719ee4b087fae6feaac9,Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters,U.S. NEWS,Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.,"Carla K. Johnson, AP",2022-09-23,"['Over', '4', 'Million', 'Americans', 'Roll', 'Up', 'Sleeves', 'For', 'Omicron-Targeted', 'COVID', 'Boosters']","['Health', 'experts', 'said', 'it', 'is', 'too', 'early', 'to', 'predict', 'whether', 'demand', 'would', 'match', 'up', 'with', 'the', '171', 'million', 'doses', 'of', 'the', 'new', 'boosters', 'the', 'U.S.', 'ordered', 'for', 'the', 'fall.']",11,29,health experts said early predict demand match 171 million doses new boosters u.s. ordered fall.,4 million americans roll sleeves omicron-targeted covid boosters,"['health', 'experts', 'said', 'early', 'predict', 'demand', 'match', '171', 'million', 'doses', 'new', 'boosters', 'u.s.', 'ordered', 'fall.']","['4', 'million', 'americans', 'roll', 'sleeves', 'omicron-targeted', 'covid', 'boosters']",[],['171'],2022
https://www.huffpost.com/entry/american-airlines-passenger-banned-flight-attendant-punch-justice-department_n_632e25d3e4b0e247890329fe,"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video",U.S. NEWS,"He was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation, according to the U.S. attorney's office in Los Angeles.",Mary Papenfuss,2022-09-23,"['American', 'Airlines', 'Flyer', 'Charged,', 'Banned', 'For', 'Life', 'After', 'Punching', 'Flight', 'Attendant', 'On', 'Video']","['He', 'was', 'subdued', 'by', 'passengers', 'and', 'crew', 'when', 'he', 'fled', 'to', 'the', 'back', 'of', 'the', 'aircraft', 'after', 'the', 'confrontation,', 'according', 'to', 'the', 'U.S.', ""attorney's"", 'office', 'in', 'Los', 'Angeles.']",13,28,"subdued passengers crew fled aircraft confrontation, according u.s. attorney's office los angeles.","american airlines flyer charged, banned life punching flight attendant video","['subdued', 'passengers', 'crew', 'fled', 'aircraft', 'confrontation,', 'according', 'u.s.', ""attorney's"", 'office', 'los', 'angeles.']","['american', 'airlines', 'flyer', 'charged,', 'banned', 'life', 'punching', 'flight', 'attendant', 'video']",[],[],2022
https://www.huffpost.com/entry/funniest-tweets-cats-dogs-september-17-23_n_632de332e4b0695c1d81dc02,23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23),COMEDY,"""Until you have a dog you don't understand what could be eaten.""",Elyse Wanshel,2022-09-23,"['23', 'Of', 'The', 'Funniest', 'Tweets', 'About', 'Cats', 'And', 'Dogs', 'This', 'Week', '(Sept.', '17-23)']","['""Until', 'you', 'have', 'a', 'dog', 'you', ""don't"", 'understand', 'what', 'could', 'be', 'eaten.""']",13,12,"""until dog don't understand eaten.""",23 funniest tweets cats dogs week (sept. 17-23),"['""until', 'dog', ""don't"", 'understand', 'eaten.""']","['23', 'funniest', 'tweets', 'cats', 'dogs', 'week', '(sept.', '17-23)']",[],[],2022
https://www.huffpost.com/entry/funniest-parenting-tweets_l_632d7d15e4b0d12b5403e479,The Funniest Tweets From Parents This Week (Sept. 17-23),PARENTING,"""Accidentally put grown-up toothpaste on my toddler’s toothbrush and he screamed like I was cleaning his teeth with a Carolina Reaper dipped in Tabasco sauce.""",Caroline Bologna,2022-09-23,"['The', 'Funniest', 'Tweets', 'From', 'Parents', 'This', 'Week', '(Sept.', '17-23)']","['""Accidentally', 'put', 'grown-up', 'toothpaste', 'on', 'my', 'toddler’s', 'toothbrush', 'and', 'he', 'screamed', 'like', 'I', 'was', 'cleaning', 'his', 'teeth', 'with', 'a', 'Carolina', 'Reaper', 'dipped', 'in', 'Tabasco', 'sauce.""']",9,25,"""accidentally grown-up toothpaste toddler’s toothbrush screamed like cleaning teeth carolina reaper dipped tabasco sauce.""",funniest tweets parents week (sept. 17-23),"['""accidentally', 'grown-up', 'toothpaste', 'toddler’s', 'toothbrush', 'screamed', 'like', 'cleaning', 'teeth', 'carolina', 'reaper', 'dipped', 'tabasco', 'sauce.""']","['funniest', 'tweets', 'parents', 'week', '(sept.', '17-23)']",[],[],2022
https://www.huffpost.com/entry/amy-cooper-loses-discrimination-lawsuit-franklin-templeton_n_632c6463e4b09d8701bd227e,Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer,U.S. NEWS,Amy Cooper accused investment firm Franklin Templeton of unfairly firing her and branding her a racist after video of the Central Park encounter went viral.,Nina Golgowski,2022-09-22,"['Woman', 'Who', 'Called', 'Cops', 'On', 'Black', 'Bird-Watcher', 'Loses', 'Lawsuit', 'Against', 'Ex-Employer']","['Amy', 'Cooper', 'accused', 'investment', 'firm', 'Franklin', 'Templeton', 'of', 'unfairly', 'firing', 'her', 'and', 'branding', 'her', 'a', 'racist', 'after', 'video', 'of', 'the', 'Central', 'Park', 'encounter', 'went', 'viral.']",11,25,amy cooper accused investment firm franklin templeton unfairly firing branding racist video central park encounter went viral.,woman called cops black bird-watcher loses lawsuit ex-employer,"['amy', 'cooper', 'accused', 'investment', 'firm', 'franklin', 'templeton', 'unfairly', 'firing', 'branding', 'racist', 'video', 'central', 'park', 'encounter', 'went', 'viral.']","['woman', 'called', 'cops', 'black', 'bird-watcher', 'loses', 'lawsuit', 'ex-employer']",[],[],2022
https://www.huffpost.com/entry/belk-worker-found-dead-columbiana-centre-bathroom_n_632c5f8ce4b0572027b0251d,Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police,U.S. NEWS,"The 63-year-old woman was seen working at the South Carolina store on Thursday. She was found dead Monday after her family reported her missing, authorities said.",,2022-09-22,"['Cleaner', 'Was', 'Dead', 'In', 'Belk', 'Bathroom', 'For', '4', 'Days', 'Before', 'Body', 'Found:', 'Police']","['The', '63-year-old', 'woman', 'was', 'seen', 'working', 'at', 'the', 'South', 'Carolina', 'store', 'on', 'Thursday.', 'She', 'was', 'found', 'dead', 'Monday', 'after', 'her', 'family', 'reported', 'her', 'missing,', 'authorities', 'said.']",13,26,"63-year-old woman seen working south carolina store thursday. dead monday family reported missing, authorities said.",cleaner dead belk bathroom 4 days body found: police,"['63-year-old', 'woman', 'seen', 'working', 'south', 'carolina', 'store', 'thursday.', 'dead', 'monday', 'family', 'reported', 'missing,', 'authorities', 'said.']","['cleaner', 'dead', 'belk', 'bathroom', '4', 'days', 'body', 'found:', 'police']",[],['63'],2022
https://www.huffpost.com/entry/reporter-gets-adorable-surprise-from-her-boyfriend-while-working-live-on-tv_n_632ccf43e4b0572027b10d74,Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV,U.S. NEWS,"""Who's that behind you?"" an anchor for New York’s PIX11 asked journalist Michelle Ross as she finished up an interview.",Elyse Wanshel,2022-09-22,"['Reporter', 'Gets', 'Adorable', 'Surprise', 'From', 'Her', 'Boyfriend', 'While', 'Live', 'On', 'TV']","['""Who\'s', 'that', 'behind', 'you?""', 'an', 'anchor', 'for', 'New', 'York’s', 'PIX11', 'asked', 'journalist', 'Michelle', 'Ross', 'as', 'she', 'finished', 'up', 'an', 'interview.']",11,20,"""who's you?"" anchor new york’s pix11 asked journalist michelle ross finished interview.",reporter gets adorable surprise boyfriend live tv,"['""who\'s', 'you?""', 'anchor', 'new', 'york’s', 'pix11', 'asked', 'journalist', 'michelle', 'ross', 'finished', 'interview.']","['reporter', 'gets', 'adorable', 'surprise', 'boyfriend', 'live', 'tv']",[],[],2022
https://www.huffpost.com/entry/puerto-rico-water-hurricane-fiona_n_632bdfd8e4b0d12b54014e13,Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage,WORLD NEWS,More than half a million people remained without water service three days after the storm lashed the U.S. territory.,"DÁNICA COTO, AP",2022-09-22,"['Puerto', 'Ricans', 'Desperate', 'For', 'Water', 'After', 'Hurricane', 'Fiona’s', 'Rampage']","['More', 'than', 'half', 'a', 'million', 'people', 'remained', 'without', 'water', 'service', 'three', 'days', 'after', 'the', 'storm', 'lashed', 'the', 'U.S.', 'territory.']",9,19,half million people remained water service days storm lashed u.s. territory.,puerto ricans desperate water hurricane fiona’s rampage,"['half', 'million', 'people', 'remained', 'water', 'service', 'days', 'storm', 'lashed', 'u.s.', 'territory.']","['puerto', 'ricans', 'desperate', 'water', 'hurricane', 'fiona’s', 'rampage']",[],[],2022
https://www.huffpost.com/entry/mija-documentary-immigration-isabel-castro-interview_n_632329aee4b000d98858dbda,How A New Documentary Captures The Complexity Of Being A Child Of Immigrants,CULTURE & ARTS,"In ""Mija,"" director Isabel Castro combined music documentaries with the style of ""Euphoria"" and ""Clueless"" to tell a more nuanced immigration story.",Marina Fang,2022-09-22,"['How', 'A', 'New', 'Documentary', 'Captures', 'The', 'Complexity', 'Of', 'Being', 'A', 'Child', 'Of', 'Immigrants']","['In', '""Mija,""', 'director', 'Isabel', 'Castro', 'combined', 'music', 'documentaries', 'with', 'the', 'style', 'of', '""Euphoria""', 'and', '""Clueless""', 'to', 'tell', 'a', 'more', 'nuanced', 'immigration', 'story.']",13,22,"""mija,"" director isabel castro combined music documentaries style ""euphoria"" ""clueless"" tell nuanced immigration story.",new documentary captures complexity child immigrants,"['""mija,""', 'director', 'isabel', 'castro', 'combined', 'music', 'documentaries', 'style', '""euphoria""', '""clueless""', 'tell', 'nuanced', 'immigration', 'story.']","['new', 'documentary', 'captures', 'complexity', 'child', 'immigrants']",[],[],2022
https://www.huffpost.com/entry/biden-un-russian-war-an-affront-to-bodys-charter_n_632ad9e3e4b0bfdf5e1bf5f7,Biden At UN To Call Russian War An Affront To Body's Charter,WORLD NEWS,White House officials say the crux of the president's visit to the U.N. this year will be a full-throated condemnation of Russia and its brutal war.,"Aamer Madhani, AP",2022-09-21,"['Biden', 'At', 'UN', 'To', 'Call', 'Russian', 'War', 'An', 'Affront', 'To', ""Body's"", 'Charter']","['White', 'House', 'officials', 'say', 'the', 'crux', 'of', 'the', ""president's"", 'visit', 'to', 'the', 'U.N.', 'this', 'year', 'will', 'be', 'a', 'full-throated', 'condemnation', 'of', 'Russia', 'and', 'its', 'brutal', 'war.']",12,26,white house officials say crux president's visit u.n. year full-throated condemnation russia brutal war.,biden russian war affront body's charter,"['white', 'house', 'officials', 'say', 'crux', ""president's"", 'visit', 'u.n.', 'year', 'full-throated', 'condemnation', 'russia', 'brutal', 'war.']","['biden', 'russian', 'war', 'affront', ""body's"", 'charter']",[],[],2022
